Ecotype	SeedMaturation	Replicate	Geography	SiliqueDevelopmentalStage	DOG1_normControl	NCED9_normControl
Bil-7	LW	a	North	Early	-5.980004561	-1.709433227
Bil-7	LW	a	North	Early	-6.117235389	-1.807354922
Bil-7	LW	b	North	Early	-7.092130019	-0.218216745
Bil-7	LW	b	North	Early	-7.008988783	-0.481668175
Bil-7	LW	c	North	Early	-10.63649473	0.180025134
Bil-7	LW	c	North	Early	-10.38881457	0.067898975
Ct-1	LW	a	South	Early	-2.707671287	0.941106311
Ct-1	LW	a	South	Early	-3.289013472	0.800362335
Ct-1	LW	b	South	Early	-3.784582362	2.368095631
Ct-1	LW	b	South	Early	-3.784582362	2.366033786
Ct-1	LW	c	South	Early	-2.3950628	2.655264754
Ct-1	LW	c	South	Early	-1.790991476	2.591166081
Cvi-0	LW	a	South	Early	-5.350386742	-2.665638122
Cvi-0	LW	a	South	Early	-5.21083539	-2.809290127
Cvi-0	LW	b	South	Early	-2.64385619	0.56653643
Cvi-0	LW	b	South	Early	-2.308089187	0.46189458
Cvi-0	LW	c	South	Early	-2.19523609	0.873708604
Cvi-0	LW	c	South	Early	-1.294315864	0.663185087
Edi-0	LW	a	North	Early	-1.200987058	1.105990696
Edi-0	LW	a	North	Early	-1.173974106	1.095937031
Edi-0	LW	b	North	Early	-2.035966328	2.430865579
Edi-0	LW	b	North	Early	-2.11904807	2.398357514
Edi-0	LW	c	North	Early	-1.729890077	2.628419194
Edi-0	LW	c	North	Early	-1.916497923	2.649462855
Fei-0	LW	a	South	Early	-8.305117701	0.236543255
Fei-0	LW	a	South	Early	-8.311601735	0.460670728
Fei-0	LW	b	South	Early	-4.597992449	2.203846264
Fei-0	LW	b	South	Early	-4.586404475	2.055719441
Fei-0	LW	c	South	Early	-8.108460903	3.202566158
Fei-0	LW	c	South	Early	-8.004838272	3.247509329
Ge-0	LW	a	North	Early	-6.186689322	-2.625573563
Ge-0	LW	a	North	Early	-6.389506205	-2.358093252
Ge-0	LW	b	North	Early	-5.726876777	1.206988624
Ge-0	LW	b	North	Early	-5.831087772	1.174137253
Ge-0	LW	c	North	Early	-8.071562605	0.651962784
Ge-0	LW	c	North	Early	-8.169173402	0.432597386
Lov-5	LW	a	North	Early	-5.478321513	-1.204729431
Lov-5	LW	a	North	Early	-4.892566975	-0.940466677
Lov-5	LW	b	North	Early	-6.823814235	-0.691551673
Lov-5	LW	b	North	Early	-6.809272909	-0.876436318
Lov-5	LW	c	North	Early	-6.876786181	1.122397919
Lov-5	LW	c	North	Early	-6.870472408	1.325316156
Mir-0	LW	a	South	Early	-11.30728412	-4.478721889
Mir-0	LW	a	South	Early	-11.45538276	-4.522729071
Mir-0	LW	b	South	Early	-6.08822036	-1.659262055
Mir-0	LW	b	South	Early	-6.072208042	-1.75506501
Mir-0	LW	c	South	Early	-1.445411148	1.754052368
Mir-0	LW	c	South	Early	-1.912537159	1.349834091
Pro-0	LW	a	South	Early	-3.214609283	1.923320002
Pro-0	LW	a	South	Early	-3.177615076	1.615977945
Pro-0	LW	b	South	Early	-2.203533394	2.414518344
Pro-0	LW	b	South	Early	-2.341036918	2.449908845
Pro-0	LW	c	South	Early	-1.185031894	3.303104221
Pro-0	LW	c	South	Early	-1.284567567	3.058091969
Sf-2	LW	a	South	Early	-6.192244076	-1.236760712
Sf-2	LW	a	South	Early	-6.317256655	-0.854719126
Sf-2	LW	b	South	Early	-1.263276286	3.468636844
Sf-2	LW	b	South	Early	-1.266182017	2.925394642
Sf-2	LW	c	South	Early	-0.036658471	3.291972462
Sf-2	LW	c	South	Early	-0.268214645	3.335822537
Tamm-27	LW	a	North	Early	-7.48771574	-0.462680855
Tamm-27	LW	a	North	Early	-7.558848917	-0.415866396
Tamm-27	LW	b	North	Early	-8.207336157	1.409759428
Tamm-27	LW	b	North	Early	-8.069373591	1.336097282
Tamm-27	LW	c	North	Early	-6.179350014	1.531340352
Tamm-27	LW	c	North	Early	-6.094368491	1.309798873
Ull-2-3	LW	a	North	Early	-7.695850827	-0.507296007
Ull-2-3	LW	a	North	Early	-7.777534625	-0.540336269
Ull-2-3	LW	b	North	Early	-7.869434722	1.608716932
Ull-2-3	LW	b	North	Early	-7.973270533	1.480487106
Ull-2-3	LW	c	North	Early	-8.670810318	-0.841302254
Ull-2-3	LW	c	North	Early	-8.710416199	-0.922033526
Bil-7	SW	a	North	Early	-9.933707183	-0.47156869
Bil-7	SW	a	North	Early	-10.01474376	-0.446013494
Bil-7	SW	b	North	Early	-8.110487689	0.191453434
Bil-7	SW	b	North	Early	-8.370813534	0.191453434
Bil-7	SW	c	North	Early	-8.914240445	0.884152962
Bil-7	SW	c	North	Early	-8.904962632	0.787205765
Ct-1	SW	a	South	Early	-2.897165365	-0.922550684
Ct-1	SW	a	South	Early	-2.831577024	-1.016608918
Ct-1	SW	b	South	Early	-2.645043105	1.42785314
Ct-1	SW	b	South	Early	-2.675037845	1.548436625
Ct-1	SW	c	South	Early	-1.835978931	2.667577029
Ct-1	SW	c	South	Early	-1.784677702	2.627600921
Cvi-0	SW	a	South	Early	-3.352622002	-0.636743257
Cvi-0	SW	a	South	Early	-3.289506617	-0.790720975
Cvi-0	SW	b	South	Early	-7.0782973	-1.004772655
Cvi-0	SW	b	South	Early	-7.218936739	-1.000386384
Cvi-0	SW	c	South	Early	-3.641039953	-1.195170953
Cvi-0	SW	c	South	Early	-3.64260385	-1.03898555
Edi-0	SW	a	North	Early	-6.079529982	-1.258393024
Edi-0	SW	a	North	Early	-6.11131647	-1.415554131
Edi-0	SW	b	North	Early	-7.909948627	-0.136046291
Edi-0	SW	b	North	Early	-7.817778783	-0.222508138
Edi-0	SW	c	North	Early	-5.115352799	0.817186384
Edi-0	SW	c	North	Early	-5.305227902	0.757718822
Fei-0	SW	a	South	Early	-3.909360964	-0.502808905
Fei-0	SW	a	South	Early	-3.797025319	-0.414626182
Fei-0	SW	b	South	Early	-4.238943598	1.197436952
Fei-0	SW	b	South	Early	-4.619380098	1.016363446
