species	year_collected	month_collected	day_collected	Plot	Sex	Weight_g	scale_callibrated
DM	2013	7	16	2	F		
DM	2013	7	16	7	M	33	
DM	2013	7	16	3	M		
DM	2013	7	16	1	M		
DM	2013	7	18	3	M	40	
DM	2013	7	18	7	M	48	
DM	2013	7	18	4	F	29	
DM	2013	7	18	4	F	46	
DM	2013	7	18	7	M	36	
DM	2013	7	18	7	F	35	
DM	2013	7	18	8	F	22	
DM	2013	7	18	7	F	42	
DM	2013	7	18	4	F	41	
DM	2013	7	18	6	F	37	
DS	2013	11	12	9	F	117	
DS	2013	11	12	1	F	121	
DS	2013	11	12	20	M	115	
DS	2013	11	12	9	F	120	
DS	2013	11	13	17	F	118	
DS	2013	11	13	11	F	126	
DS	2013	11	13	17	M	132	no
DS	2013	11	13	14	F	113	no
DS	2013	11	13	11	F	122	
DS	2013	11	13	4	F	107	
DS	2013	11	13	4	F	115	
DM	2014	1	9	1	M	40	
DM	2014	1	9	1	F	36	
DS	2014	1	9	1	F	135	
DM	2014	1	20	1	F	39	
DM	2014	1	20	1	M	43	
DS	2014	1	20	1	F	144	
DM	2014	3	13	1	F	51	
DM	2014	3	13	1	F	44	
DS	2014	3	13	1	F	146	
NA	2014	1	8	2			
DM	2014	1	8	2	M	44	
DM	2014	1	8	2	M	38	
OL	2014	1	8	2			
PE	2014	1	8	2	M	22	
DM	2014	1	8	2	M	38	
DM	2014	1	8	2	M	48	
DM	2014	1	8	2	M	43	
DM	2014	1	8	2	F	35	
DM	2014	1	8	2	M	43	
DM	2014	1	8	2	F	37	
PF	2014	1	8	2	F	7	
DM	2014	1	8	2	M	45	
OT	2014	1	8	2			
DS	2014	1	8	2	M	157	no
OX	2014	1	8	2			
NA	2014	2	18	2	M	218	no
PF	2014	2	18	2	F	7	
DM	2014	2	18	2	M	52	
PF	2014	1	8	3	M	7	
OT	2014	2	18	3	M	24	
OT	2014	2	18	3	F	23	
NA	2014	3	11	3	M	232	
OT	2014	3	11	3	F	22	
OT	2014	3	11	3	M	26	
PF	2014	3	11	3	M	8	
NA	2014	4	8	3	F		
	2014	5	6	3			
NA	2014	5	18	3	F	182	
OT	2014	6	9	3	F	29	
NA	2014	7	8	3	F	115	
NA	2014	7	8	3	M	190	
