Plant	Genotype	Treatment	Flowering_time_days
1	Ler	P-	32
2	Ler	P-	31
3	Ler	P-	31
4	Ler	P-	32
5	Ler	P-	33
6	Ler	P-	31
7	Ler	P-	32
8	Ler	P-	32
9	Ler	P-	33
10	Ler	P-	33
11	Ler	P-	32
12	Ler	P-	33
13	Ler	P-	32
14	Ler	P-	31
15	Ler	P-	32
1	Ler	P+	41
2	Ler	P+	41
3	Ler	P+	42
4	Ler	P+	42
5	Ler	P+	41
6	Ler	P+	43
7	Ler	P+	42
8	Ler	P+	43
9	Ler	P+	43
10	Ler	P+	42
11	Ler	P+	43
12	Ler	P+	42
13	Ler	P+	42
14	Ler	P+	41
15	Ler	P+	42
1	Cvi-0	P-	34
2	Cvi-0	P-	33
3	Cvi-0	P-	33
4	Cvi-0	P-	33
5	Cvi-0	P-	33
6	Cvi-0	P-	34
7	Cvi-0	P-	32
8	Cvi-0	P-	33
9	Cvi-0	P-	33
10	Cvi-0	P-	32
11	Cvi-0	P-	33
12	Cvi-0	P-	34
13	Cvi-0	P-	33
14	Cvi-0	P-	32
15	Cvi-0	P-	33
1	Cvi-0	P+	40
2	Cvi-0	P+	40
3	Cvi-0	P+	40
4	Cvi-0	P+	39
5	Cvi-0	P+	39
6	Cvi-0	P+	41
7	Cvi-0	P+	40
8	Cvi-0	P+	39
9	Cvi-0	P+	39
10	Cvi-0	P+	41
11	Cvi-0	P+	40
12	Cvi-0	P+	41
13	Cvi-0	P+	41
14	Cvi-0	P+	40
15	Cvi-0	P+	40
1	Col	P-	34
2	Col	P-	34
3	Col	P-	34
4	Col	P-	34
5	Col	P-	34
6	Col	P-	34
7	Col	P-	33
8	Col	P-	34
9	Col	P-	35
10	Col	P-	34
11	Col	P-	34
12	Col	P-	34
13	Col	P-	34
14	Col	P-	34
15	Col	P-	34
1	Col	P+	42
2	Col	P+	42
3	Col	P+	41
4	Col	P+	42
5	Col	P+	42
6	Col	P+	43
7	Col	P+	42
8	Col	P+	42
9	Col	P+	42
10	Col	P+	42
11	Col	P+	42
12	Col	P+	42
13	Col	P+	42
14	Col	P+	42
15	Col	P+	42
1	C24	P-	31
2	C24	P-	32
3	C24	P-	32
4	C24	P-	31
5	C24	P-	33
6	C24	P-	32
7	C24	P-	32
8	C24	P-	32
9	C24	P-	33
10	C24	P-	32
11	C24	P-	31
12	C24	P-	32
13	C24	P-	32
14	C24	P-	32
15	C24	P-	32
1	C24	P+	40
2	C25	P+	41
3	C26	P+	41
4	C27	P+	40
5	C28	P+	41
6	C29	P+	39
7	C30	P+	39
8	C31	P+	40
9	C32	P+	39
10	C33	P+	40
11	C34	P+	39
12	C35	P+	40
13	C36	P+	41
14	C37	P+	40
15	C38	P+	40
