plant_nb	genotype	background	temperature	fluctuation	day.length	vernalization	survival.bolt	bolt	days.to.bolt	days.to.flower	rosette.leaf.num	cauline.leaf.num	blade.length.mm	total.leaf.length.mm
1	Col Ama	Col	12	Con	16	NV	Y	Y	28	43	18	6	12.9	21.1
2	Col Ama	Col	12	Con	16	NV	Y	Y	29	44	15	5	10.5	19.1
3	Col Ama	Col	12	Con	16	NV	Y	Y	31	43	13	4	13.2	23.4
4	Col Ama	Col	12	Con	16	NV	Y	Y	31	42	17	5	14.6	27.2
5	Col Ama	Col	12	Con	16	NV	Y	Y	32	44	19	4	13.3	20.4
6	Col Ama	Col	12	Con	16	NV	Y	Y	33	47	14	4	14.7	25.3
7	Col Ama	Col	12	Con	16	NV	Y	Y	34	47	15	3	13	23.2
8	Col Ama	Col	12	Con	16	NV	Y	Y	35	49	18	5	17.8	31.3
1	Col Ama	Col	12	Con	8	NV	Y	Y	69	90	53	6	20.7	33.1
2	Col Ama	Col	12	Con	8	NV	Y	Y	72	91	49	5	19.4	33.2
3	Col Ama	Col	12	Con	8	NV	Y	Y	76	97	51	6	19.3	31.3
4	Col Ama	Col	12	Con	8	NV	Y	Y	79	99	55	9	22.6	39
5	Col Ama	Col	12	Con	8	NV	Y	Y	80	101	56	6	23.1	38.2
6	Col Ama	Col	12	Con	8	NV	Y	Y	88	110	51	9	19.3	32.7
7	Col Ama	Col	12	Con	8	NV	Y	Y	89	110	61	8	24.6	28.9
8	Col Ama	Col	12	Con	8	NV	Y	Y	92	111	68	10	27.4	49
1	Col Ama	Col	12	Var	16	NV	Y	Y	32	44	19	4	15.1	27
2	Col Ama	Col	12	Var	16	NV	Y	Y	32	45	16	5	16	29.7
3	Col Ama	Col	12	Var	16	NV	Y	Y	32	46	18	6	17.5	30
4	Col Ama	Col	12	Var	16	NV	Y	Y	33	45	20	4	15.1	24.3
5	Col Ama	Col	12	Var	16	NV	Y	Y	33	44	18	5	15	24.5
6	Col Ama	Col	12	Var	16	NV	Y	Y	33	44	17	4	15.1	21.8
7	Col Ama	Col	12	Var	16	NV	Y	Y	33	46	16	5	13.7	24.4
8	Col Ama	Col	12	Var	16	NV	Y	Y	33	46	21	6	17.7	34.6
1	Col Ama	Col	12	Var	8	NV	Y	Y	68	89	61	10	29.7	42.2
2	Col Ama	Col	12	Var	8	NV	Y	Y	68	92	50	7	22.1	36.3
3	Col Ama	Col	12	Var	8	NV	Y	Y	69	92	45	8	19.6	35.7
4	Col Ama	Col	12	Var	8	NV	Y	Y	69	80	54	11	19	28.8
5	Col Ama	Col	12	Var	8	NV	Y	Y	77	98	56	13	24.6	41.8
6	Col Ama	Col	12	Var	8	NV	Y	Y	78	98	53	5	22.4	38.7
7	Col Ama	Col	12	Var	8	NV	Y	Y	78	100	52	7	24	40.1
8	Col Ama	Col	12	Var	8	NV	Y	Y	79	99	51	7	23.1	41.7
1	Col Ama	Col	22	Con	16	NV	Y	Y	18	24	10	2	NA	19.4
2	Col Ama	Col	22	Con	16	NV	Y	Y	18	26	12	3	NA	NA
3	Col Ama	Col	22	Con	16	NV	Y	Y	20	26	11	2	12.8	20.6
4	Col Ama	Col	22	Con	16	NV	Y	Y	20	26	11	3	13.7	21.4
5	Col Ama	Col	22	Con	16	NV	Y	Y	20	27	12	2	NA	NA
6	Col Ama	Col	22	Con	16	NV	Y	Y	21	26	12	3	12.6	21
7	Col Ama	Col	22	Con	16	NV	Y	Y	21	27	13	2	NA	NA
8	Col Ama	Col	22	Con	16	NV	Y	Y	22	28	12	3	NA	NA
1	Col Ama	Col	22	Con	8	NV	Y	Y	53	61	39	7	NA	NA
2	Col Ama	Col	22	Con	8	NV	Y	Y	55	64	33	7	NA	NA
3	Col Ama	Col	22	Con	8	NV	Y	Y	55	63	40	9	NA	NA
4	Col Ama	Col	22	Con	8	NV	Y	Y	60	68	39	8	NA	NA
5	Col Ama	Col	22	Con	8	NV	Y	Y	62	71	49	10	25.7	41.3
6	Col Ama	Col	22	Con	8	NV	Y	Y	62	68	41	6	NA	NA
7	Col Ama	Col	22	Con	8	NV	Y	Y	63	NA	NA	NA	NA	NA
8	Col Ama	Col	22	Con	8	NV	Y	Y	72	79	53	9	22.3	39.9
9	Col Ama	Col	22	Con	8	NV	Y	Y	73	81	53	8	NA	NA
10	Col Ama	Col	22	Con	8	NV	Y	Y	82	90	58	11	26.2	44.5
11	Col Ama	Col	22	Con	8	NV	Y	Y	85	93	59	7	NA	NA
1	Col Ama	Col	22	Var	16	NV	Y	Y	19	27	8	2	NA	NA
2	Col Ama	Col	22	Var	16	NV	Y	Y	19	27	8	2	10.2	21.2
3	Col Ama	Col	22	Var	16	NV	Y	Y	20	28	9	2	12.4	23.2
4	Col Ama	Col	22	Var	16	NV	Y	Y	20	28	8	2	10.6	21.4
5	Col Ama	Col	22	Var	16	NV	Y	Y	21	29	7	2	NA	NA
6	Col Ama	Col	22	Var	16	NV	Y	Y	22	29	8	3	NA	NA
7	Col Ama	Col	22	Var	16	NV	Y	Y	22	28	10	2	NA	NA
8	Col Ama	Col	22	Var	16	NV	Y	Y	24	29	9	3	17.4	30.9
1	Col Ama	Col	22	Var	8	NV	Y	Y	50	58	32	8	NA	NA
2	Col Ama	Col	22	Var	8	NV	Y	Y	51	60	32	9	NA	NA
3	Col Ama	Col	22	Var	8	NV	Y	Y	53	61	26	5	NA	NA
4	Col Ama	Col	22	Var	8	NV	Y	Y	58	66	42	10	NA	NA
5	Col Ama	Col	22	Var	8	NV	Y	Y	62	69	43	8	29	54.7
6	Col Ama	Col	22	Var	8	NV	Y	Y	64	71	38	8	29.7	52.5
7	Col Ama	Col	22	Var	8	NV	Y	Y	72	80	46	6	31	62.2
8	Col Ama	Col	22	Var	8	NV	Y	Y	72	80	48	7	31.8	57.2
1	Col Ama	Col	12	Con	16	V	Y	Y	24	37	17	5	13.6	22.1
2	Col Ama	Col	12	Con	16	V	Y	Y	25	38	19	7	16.8	26.8
3	Col Ama	Col	12	Con	16	V	Y	Y	25	38	18	6	18.6	27.9
4	Col Ama	Col	12	Con	16	V	Y	Y	26	40	14	5	12.2	22.8
5	Col Ama	Col	12	Con	16	V	Y	Y	26	39	19	7	16	24.9
6	Col Ama	Col	12	Con	16	V	Y	Y	27	41	15	4	12.9	22.2
7	Col Ama	Col	12	Con	16	V	Y	Y	28	41	15	4	14.4	24.1
8	Col Ama	Col	12	Con	16	V	Y	Y	29	43	15	5	12.6	21.4
1	Col Ama	Col	12	Con	8	V	Y	Y	56	75	46	8	17.4	36
2	Col Ama	Col	12	Con	8	V	Y	Y	59	78	50	11	19.1	29.9
3	Col Ama	Col	12	Con	8	V	Y	Y	59	78	44	10	12.9	32.7
4	Col Ama	Col	12	Con	8	V	Y	Y	61	81	47	10	19.2	35
5	Col Ama	Col	12	Con	8	V	Y	Y	68	90	44	10	20.5	37.6
6	Col Ama	Col	12	Con	8	V	Y	Y	68	90	45	9	23.9	38.1
7	Col Ama	Col	12	Con	8	V	Y	Y	74	94	35	9	32.9	50.5
8	Col Ama	Col	12	Con	8	V	Y	Y	76	96	45	9	20.8	32.5
1	Col Ama	Col	12	Var	16	V	Y	Y	26	38	17	5	13.3	22.7
2	Col Ama	Col	12	Var	16	V	Y	Y	26	38	16	4	13.4	22
3	Col Ama	Col	12	Var	16	V	Y	Y	26	39	14	4	12.2	20.8
4	Col Ama	Col	12	Var	16	V	Y	Y	27	40	17	6	13.8	22.7
5	Col Ama	Col	12	Var	16	V	Y	Y	27	39	16	4	13.7	24.1
6	Col Ama	Col	12	Var	16	V	Y	Y	27	41	19	7	15.4	27.7
7	Col Ama	Col	12	Var	16	V	Y	Y	28	41	19	7	15.7	25.6
8	Col Ama	Col	12	Var	16	V	Y	Y	31	43	20	6	19	34.5
1	Col Ama	Col	12	Var	8	V	Y	Y	57	75	43	11	25.6	46.7
