plant_nb	genotype	background	temperature	fluctuation	day.length	vernalization	survival.bolt	bolt	days.to.bolt	days.to.flower	rosette.leaf.num	cauline.leaf.num	blade.length.mm	total.leaf.length.mm	blade.ratio
1	Col Ama	Col	12	Con	16	NV	Y	Y	28	43	18	6	12.9	21.1	0.611374408
2	Col Ama	Col	12	Con	16	NV	Y	Y	29	44	15	5	10.5	19.1	0.54973822
3	Col Ama	Col	12	Con	16	NV	Y	Y	31	43	13	4	13.2	23.4	0.564102564
4	Col Ama	Col	12	Con	16	NV	Y	Y	31	42	17	5	14.6	27.2	0.536764706
5	Col Ama	Col	12	Con	16	NV	Y	Y	32	44	19	4	13.3	20.4	0.651960784
6	Col Ama	Col	12	Con	16	NV	Y	Y	33	47	14	4	14.7	25.3	0.581027668
7	Col Ama	Col	12	Con	16	NV	Y	Y	34	47	15	3	13	23.2	0.560344828
8	Col Ama	Col	12	Con	16	NV	Y	Y	35	49	18	5	17.8	31.3	0.568690096
1	Col Ama	Col	12	Con	8	NV	Y	Y	69	90	53	6	20.7	33.1	0.625377644
2	Col Ama	Col	12	Con	8	NV	Y	Y	72	91	49	5	19.4	33.2	0.584337349
3	Col Ama	Col	12	Con	8	NV	Y	Y	76	97	51	6	19.3	31.3	0.616613419
4	Col Ama	Col	12	Con	8	NV	Y	Y	79	99	55	9	22.6	39	0.579487179
5	Col Ama	Col	12	Con	8	NV	Y	Y	80	101	56	6	23.1	38.2	0.604712042
6	Col Ama	Col	12	Con	8	NV	Y	Y	88	110	51	9	19.3	32.7	0.590214067
7	Col Ama	Col	12	Con	8	NV	Y	Y	89	110	61	8	24.6	28.9	0.851211073
8	Col Ama	Col	12	Con	8	NV	Y	Y	92	111	68	10	27.4	49	0.559183673
1	Col Ama	Col	12	Var	16	NV	Y	Y	32	44	19	4	15.1	27	0.559259259
2	Col Ama	Col	12	Var	16	NV	Y	Y	32	45	16	5	16	29.7	0.538720539
3	Col Ama	Col	12	Var	16	NV	Y	Y	32	46	18	6	17.5	30	0.583333333
4	Col Ama	Col	12	Var	16	NV	Y	Y	33	45	20	4	15.1	24.3	0.621399177
5	Col Ama	Col	12	Var	16	NV	Y	Y	33	44	18	5	15	24.5	0.612244898
6	Col Ama	Col	12	Var	16	NV	Y	Y	33	44	17	4	15.1	21.8	0.69266055
7	Col Ama	Col	12	Var	16	NV	Y	Y	33	46	16	5	13.7	24.4	0.56147541
8	Col Ama	Col	12	Var	16	NV	Y	Y	33	46	21	6	17.7	34.6	0.511560694
1	Col Ama	Col	12	Var	8	NV	Y	Y	68	89	61	10	29.7	42.2	0.703791469
2	Col Ama	Col	12	Var	8	NV	Y	Y	68	92	50	7	22.1	36.3	0.608815427
3	Col Ama	Col	12	Var	8	NV	Y	Y	69	92	45	8	19.6	35.7	0.549019608
4	Col Ama	Col	12	Var	8	NV	Y	Y	69	80	54	11	19	28.8	0.659722222
5	Col Ama	Col	12	Var	8	NV	Y	Y	77	98	56	13	24.6	41.8	0.588516746
6	Col Ama	Col	12	Var	8	NV	Y	Y	78	98	53	5	22.4	38.7	0.57881137
7	Col Ama	Col	12	Var	8	NV	Y	Y	78	100	52	7	24	40.1	0.598503741
8	Col Ama	Col	12	Var	8	NV	Y	Y	79	99	51	7	23.1	41.7	0.553956835
1	Col Ama	Col	22	Con	16	NV	Y	Y	18	24	10	2	NA	19.4	0
2	Col Ama	Col	22	Con	16	NV	Y	Y	18	26	12	3	NA	NA	NA
3	Col Ama	Col	22	Con	16	NV	Y	Y	20	26	11	2	12.8	20.6	0.621359223
4	Col Ama	Col	22	Con	16	NV	Y	Y	20	26	11	3	13.7	21.4	0.640186916
5	Col Ama	Col	22	Con	16	NV	Y	Y	20	27	12	2	NA	NA	NA
6	Col Ama	Col	22	Con	16	NV	Y	Y	21	26	12	3	12.6	21	0.6
7	Col Ama	Col	22	Con	16	NV	Y	Y	21	27	13	2	NA	NA	NA
8	Col Ama	Col	22	Con	16	NV	Y	Y	22	28	12	3	NA	NA	NA
1	Col Ama	Col	22	Con	8	NV	Y	Y	53	61	39	7	NA	NA	NA
2	Col Ama	Col	22	Con	8	NV	Y	Y	55	64	33	7	NA	NA	NA
3	Col Ama	Col	22	Con	8	NV	Y	Y	55	63	40	9	NA	NA	NA
4	Col Ama	Col	22	Con	8	NV	Y	Y	60	68	39	8	NA	NA	NA
5	Col Ama	Col	22	Con	8	NV	Y	Y	62	71	49	10	25.7	41.3	0.622276029
6	Col Ama	Col	22	Con	8	NV	Y	Y	62	68	41	6	NA	NA	NA
7	Col Ama	Col	22	Con	8	NV	Y	Y	63	NA	NA	NA	NA	NA	NA
8	Col Ama	Col	22	Con	8	NV	Y	Y	72	79	53	9	22.3	39.9	0.558897243
9	Col Ama	Col	22	Con	8	NV	Y	Y	73	81	53	8	NA	NA	NA
10	Col Ama	Col	22	Con	8	NV	Y	Y	82	90	58	11	26.2	44.5	0.588764045
11	Col Ama	Col	22	Con	8	NV	Y	Y	85	93	59	7	NA	NA	NA
1	Col Ama	Col	22	Var	16	NV	Y	Y	19	27	8	2	NA	NA	NA
2	Col Ama	Col	22	Var	16	NV	Y	Y	19	27	8	2	10.2	21.2	0.481132075
3	Col Ama	Col	22	Var	16	NV	Y	Y	20	28	9	2	12.4	23.2	0.534482759
4	Col Ama	Col	22	Var	16	NV	Y	Y	20	28	8	2	10.6	21.4	0.495327103
5	Col Ama	Col	22	Var	16	NV	Y	Y	21	29	7	2	NA	NA	NA
6	Col Ama	Col	22	Var	16	NV	Y	Y	22	29	8	3	NA	NA	NA
7	Col Ama	Col	22	Var	16	NV	Y	Y	22	28	10	2	NA	NA	NA
8	Col Ama	Col	22	Var	16	NV	Y	Y	24	29	9	3	17.4	30.9	0.563106796
