gene	Log2FoldToZero_17c_15min	TLog2FoldToZero_17c_1hr	Log2FoldToZero_17c_4hr	Log2FoldToZero_27c_15min	Log2FoldToZero_27c_1hr	Log2FoldToZero_27c_4hr	cluster
AT1G01060	-0.205414743	-0.798973513	-3.194124711	-0.442671451	-1.703595633	-5.260571295	cluster1
AT1G01390	0.336329225	-0.430011522	-1.006960774	-0.603690351	-1.941121879	-1.871615892	cluster1
AT1G04520	-0.09238742	-0.595086966	-1.440637133	-0.447488453	-1.775492345	-1.933990692	cluster1
AT1G04530	0.153264994	0.04638492	-0.105687282	-0.117490373	-0.587857862	-0.754507637	cluster1
AT1G04770	0.028761734	0.299317056	-0.951783905	0.648822494	-0.751944959	-0.820340083	cluster1
AT1G05260	-0.291478041	-0.169554332	0.014354074	-0.122551097	-0.453524629	-0.826957797	cluster1
AT1G06000	0.314668986	0.456849147	-1.65166241	0.30280836	-1.419582541	-2.688874537	cluster1
AT1G06080	0.351749848	-0.412593	-0.184365643	-0.638038835	-0.503177529	0.311781115	cluster1
AT1G06180	-0.632552375	-1.568024714	-1.955807205	-1.727917017	-1.867247573	-2.275620303	cluster1
AT1G07150	-0.060704389	-0.989329713	-1.126452917	-1.502436589	-1.326085567	-2.069228203	cluster1
AT1G07180	0.25598617	0.033250583	-0.482649329	0.163114552	-0.221815028	-1.377700706	cluster1
AT1G08280	-0.062834235	-0.435196915	-0.251707531	-0.946483624	-0.901924502	-0.387144529	cluster1
AT1G08580	-0.08915405	-0.112583182	-0.234316291	-0.491257654	-1.071366062	-0.976078485	cluster1
AT1G08650	0.280714803	-0.728637131	-0.963051191	-0.737996215	-1.731927372	-1.124265701	cluster1
AT1G09560	-0.289622298	-0.373812342	-0.609454737	-0.004204334	-0.743752136	-1.34570932	cluster1
AT1G09780	-0.01240226	-0.357136426	0.028268005	-0.143429347	-1.052400078	-1.36397309	cluster1
AT1G10490	-0.14928757	-0.295713524	-0.534573206	-0.420839187	-1.259683743	-0.938971067	cluster1
AT1G12370	-0.207163885	-0.599350385	-1.693123022	-0.308814697	-1.890254564	-2.381241958	cluster1
AT1G12740	-0.842616475	-1.212918511	-0.144177003	-1.227586792	-0.255856013	-1.321834736	cluster1
AT1G14350	0.097716347	-0.478824203	-0.546553179	-0.650242164	-1.550883065	-0.882178988	cluster1
AT1G18540	-0.406042367	-0.365357239	-0.276115548	-0.278463803	-0.476943986	-1.043892668	cluster1
AT1G18660	0.0368465	-0.144258345	-0.450238213	-0.206493646	-1.023445424	-0.826097796	cluster1
AT1G18850	-0.191982619	-0.401435395	-0.773609922	-1.027882606	-1.415888149	-0.993029742	cluster1
