gene	Primary_Gene_Symbol	heatRelated
AT1G01060	LATE ELONGATED HYPOCOTYL (LHY)	No
AT1G01390	NA	NA
AT1G04520	PLASMODESMATA-LOCATED PROTEIN 2 (PDLP2)	No
AT1G04530	TETRATRICOPEPTIDE REPEAT 4 (TPR4)	No
AT1G04770	NA	NA
AT1G05260	RARE COLD INDUCIBLE GENE 3 (RCI3)	No
AT1G06000	NA	NA
AT1G06080	DELTA 9 DESATURASE 1 (ADS1)	No
AT1G06180	MYB DOMAIN PROTEIN 13 (MYB13)	No
AT1G07150	MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 13 (MAPKKK13)	No
AT1G07180	ALTERNATIVE NAD(P)H DEHYDROGENASE 1 (NDA1)	No
AT1G08280	NA	NA
AT1G08580	NA	NA
AT1G08650	PHOSPHOENOLPYRUVATE CARBOXYLASE KINASE 1 (PPCK1)	No
AT1G09560	GERMIN-LIKE PROTEIN 5 (GLP5)	No
AT1G09780	2,3-BIPHOSPHOGLYCERATE-INDEPENDENT PHOSPHOGLYCERATE MUTASE 1 (iPGAM1)	No
AT1G10490	NA	NA
AT1G12370	PHOTOLYASE 1 (PHR1)	No
AT1G12740	CYTOCHROME P450, FAMILY 87, SUBFAMILY A, POLYPEPTIDE 2"" (CYP87A2)	No
AT1G14350	FOUR LIPS (FLP)	No
AT1G18540	NA	NA
AT1G18660	NA	NA
AT1G18850	NA	NA
AT1G19900	NA	NA
AT1G20190	EXPANSIN 11 (EXPA11)	No
AT1G22640	MYB DOMAIN PROTEIN 3 (MYB3)	No
AT1G24280	GLUCOSE-6-PHOSPHATE DEHYDROGENASE 3 (G6PD3)	No
AT1G26770	EXPANSIN A10 (EXPA10)	No
AT1G27760	SALT-TOLERANCE 32 (SAT32)	No
AT1G28010	ATP-BINDING CASSETTE B14 (ABCB14)	No
AT1G28130	(GH3.17)	No
AT1G28600	NA	NA
AT1G28680	NA	NA
AT1G29720	NA	NA
AT1G29930	CHLOROPHYLL A/B BINDING PROTEIN 1 (CAB1)	No
AT1G32200	(ATS1)	No
AT1G32240	KANADI 2 (KAN2)	No
AT1G32440	PLASTIDIAL PYRUVATE KINASE 3 (PKp3)	No
AT1G44100	AMINO ACID PERMEASE 5 (AAP5)	No
AT1G47490	RNA-BINDING PROTEIN 47C (RBP47C)	No
AT1G47530	NA	NA
AT1G48650	NA	NA
AT1G48850	EMBRYO DEFECTIVE 1144 (EMB1144)	No
AT1G51420	SUCROSE-PHOSPHATASE 1 (SPP1)	No
AT1G51680	4-COUMARATE:COA LIGASE 1 (4CL1)	No
AT1G53510	MITOGEN-ACTIVATED PROTEIN KINASE 18 (MPK18)	No
AT1G55110	INDETERMINATE(ID)-DOMAIN 7 (IDD7)	No
AT1G55120	BETA-FRUCTOFURANOSIDASE 5 (FRUCT5)	No
AT1G56070	LOW EXPRESSION OF OSMOTICALLY RESPONSIVE GENES 1 (LOS1)	No
AT1G56650	PRODUCTION OF ANTHOCYANIN PIGMENT 1 (PAP1)	No
AT1G56670	NA	NA
AT1G58270	(ZW9)	No
AT1G58602	NA	NA
AT1G61730	NA	NA
AT1G61800	GLUCOSE-6-PHOSPHATE/PHOSPHATE TRANSLOCATOR 2 (GPT2)	No
AT1G62560	FLAVIN-MONOOXYGENASE GLUCOSINOLATE S-OXYGENASE 3 (FMO GS-OX3)	No
AT1G62780	NA	NA
AT1G63670	TON1 RECRUITING MOTIF 12 (TRM12)	No
AT1G63940	MONODEHYDROASCORBATE REDUCTASE 6 (MDAR6)	No
AT1G64390	GLYCOSYL HYDROLASE 9C2 (GH9C2)	No
AT1G64760	HYPERSENSITIVE TO EXCESS BORON 1 (HEB1)	No
AT1G65060	4-COUMARATE:COA LIGASE 3 (4CL3)	No
AT1G66270	(BGLU21)	No
AT1G66700	(PXMT1)	No
AT1G67090	RIBULOSE BISPHOSPHATE CARBOXYLASE SMALL CHAIN 1A (RBCS1A)	No
AT1G68130	INDETERMINATE(ID)-DOMAIN 14 (IDD14)	No
AT1G68740	(PHO1;H1)	No
AT1G69530	EXPANSIN A1 (EXPA1)	No
AT1G71890	(SUC5)	No
AT1G72490	NA	NA
AT1G73010	PHOSPHATE STARVATION-INDUCED GENE 2 (PS2)	No
AT1G73730	ETHYLENE-INSENSITIVE3-LIKE 3 (EIL3)	No
AT1G74810	(BOR5)	No
AT1G75040	PATHOGENESIS-RELATED GENE 5 (PR5)	No
AT1G75990	NA	NA
AT1G77080	MADS AFFECTING FLOWERING 1 (MAF1)	No
AT1G77850	AUXIN RESPONSE FACTOR 17 (ARF17)	No
AT1G78570	RHAMNOSE BIOSYNTHESIS 1 (RHM1)	No
AT1G79150	NA	NA
AT1G79340	METACASPASE 4 (MC4)	No
AT1G80130	NA	NA
AT2G01250	NA	NA
AT2G01670	NUDIX HYDROLASE HOMOLOG 17 (NUDT17)	No
AT2G02120	(PDF2.1)	No
AT2G03090	EXPANSIN A15 (EXPA15)	No
AT2G11810	MONOGALACTOSYLDIACYLGLYCEROL SYNTHASE TYPE C (MGDC)	No
AT2G16430	PURPLE ACID PHOSPHATASE 10 (PAP10)	No
AT2G16500	ARGININE DECARBOXYLASE 1 (ADC1)	No
AT2G16890	NA	NA
AT2G18940	NA	NA
AT2G22500	UNCOUPLING PROTEIN 5 (UCP5)	No
AT2G22590	NA	NA
AT2G23420	NICOTINATE PHOSPHORIBOSYLTRANSFERASE 2 (NAPRT2)	No
AT2G23430	(ICK1)	No
AT2G23470	ROOT UV-B SENSITIVE 4 (RUS4)	No
AT2G23910	NA	NA
AT2G24050	EUKARYOTIC TRANSLATION INITIATION FACTOR ISOFORM 4G2 (eIFiso4G2)	No
AT2G25620	DNA-BINDING PROTEIN PHOSPHATASE 1 (DBP1)	No
AT2G27510	FERREDOXIN 3 (FD3)	No
AT2G27840	(HDT4)	No
AT2G28550	RELATED TO AP2.7 (RAP2.7)	No
AT2G29970	NA	NA
